101|2069|6|1178||1|1|lt|0|116|OR||||Aug 31 2015  8:49PM|
101|2069|7|1178||1|1|lt|0|129|OR||||Aug 31 2015  8:49PM|
101|2069|8|1178||1|1|lt|0|148|OR||||Aug 31 2015  8:49PM|
101|2071|1|2563||1|1|gt|5||||||Aug 20 2010  1:20PM|
101|2071|2|1015||1|1|streq|N||AND||||Aug 20 2010  1:20PM|
101|2071|3|1068||1|1|streq|N||AND||||Aug 20 2010  1:20PM|
101|2077|1|1341||1|1|lt|50||||||Sep 29 2006  5:41PM|
101|2078|1|1005||1|1|streq|Y||||||Oct 18 2006  7:20PM|
101|2087|1|2084||1|1|gt|0|1|||||Jul  4 2016  3:50AM|
101|2087|2|2050||1|1|streq|Y||AND||||Jul  4 2016  3:50AM|
101|2089|1|2034||1|1|notwithinm|7||||||Sep 26 2006 10:19PM|
101|2089|2|2566||1|1|streq|T_PEND||AND||||Sep 26 2006 10:19PM|
101|2089|3|2050||1|1|streq|Y||AND||||Sep 26 2006 10:19PM|
101|2097|1|1031||1|1|strne|1317||||||Apr 20 2010  5:56PM|
101|2097|2|1001||1|1|streq|AIRFR||AND||||Apr 20 2010  5:56PM|
101|2098|1|1001||1|1|streq|CELPH||||||Apr 20 2010  5:56PM|
101|2098|2|2573||1|1|gt|150.00|1|AND||||Apr 20 2010  5:56PM|
101|2098|3|1014||2|1|streq|REG||AND||||Apr 20 2010  5:56PM|
101|2098|4|1014||1|2|streq|CHD||OR||||Apr 20 2010  5:56PM|
101|2098|5|1015||1|1|streq|N||AND||||Apr 20 2010  5:56PM|
101|2100|1|1001||1|1|streq|AIRFR||||||Apr 20 2010  5:56PM|
101|2100|2|1013||1|1|gt|1000.00|1|AND||||Apr 20 2010  5:56PM|
101|2100|3|1014||2|1|streq|REG||AND||||Apr 20 2010  5:56PM|
101|2100|4|1014||1|2|streq|CHD||OR||||Apr 20 2010  5:56PM|
101|2100|5|1015||1|1|streq|N||AND||||Apr 20 2010  5:56PM|
101|2101|1|1068||1|1|streq|N||||||Apr 20 2010  5:56PM|
101|2101|2|1001||1|1|streq|AIRFR||AND||||Apr 20 2010  5:56PM|
